baseline,uses,PR-AUC,recall@0.5%FPR,precision,recall,block_rate,cost_per_10k_inr
Predict never fraud,nothing,,,0.0,0.0,0.0,4957413.684036736
Block everything,nothing,,,0.034409184813899145,1.0,1.0,16391839.415827865
Random at base rate,nothing,0.034689097245852965,0.005905511811023622,0.037294878170064646,0.036909448818897635,0.03405357808107833,5328748.820789871
Amount > threshold,one feature,0.0364681416865222,0.0022145669291338582,0.0,0.0,8.466826971924002e-06,4962233.308223392
Count rule (C12 > t),hand-written domain rule,0.16137510791558726,0.1315935488613716,0.3357731015553522,0.18061023622047245,0.018508483760625867,4669677.502195679
Logistic regression (5 features),cheap linear model,0.20927487603694891,0.14886811023622049,0.5760626398210291,0.1267224409448819,0.0075693433129000575,4838403.388276613
