band,ece_global,ece_perband
<$25,0.014012597459401439,0.006614780203119174
$25-100,0.0027592762481892545,0.004024764398244203
$100-250,0.005721898632653621,0.0037327590249350367
$250-1k,0.00895661178689185,0.010270296291087444
>$1k,0.022211125049089668,0.026708726001046845
