threshold,cost_per_10k
0.251,3478369.5892043277
0.252,3478369.5892043277
0.253,3478369.5892043277
0.254,3478369.5892043277
0.255,3478369.5892043277
0.256,3478369.5892043277
0.257,3478369.5892043277
0.258,3478369.5892043277
0.259,3478369.5892043277
0.26,3478369.5892043277
0.261,3478369.5892043277
0.262,3478369.5892043277
0.263,3478369.5892043277
0.264,3478369.5892043277
0.265,3478369.5892043277
0.266,3478369.5892043277
0.267,3497755.502898108
0.268,3497755.502898108
0.269,3497755.502898108
0.27,3497755.502898108
0.271,3497673.9798199935
0.272,3497673.9798199935
0.273,3498572.818171333
0.274,3498572.818171333
0.275,3498572.818171333
0.276,3498572.818171333
0.277,3498890.4935193197
0.278,3498868.5414347686
0.279,3498868.5414347686
0.28,3498645.308461557
0.281,3573878.368236275
0.28200000000000003,3573878.368236275
0.28300000000000003,3573878.368236275
0.28400000000000003,3573878.368236275
0.28500000000000003,3573878.368236275
0.28600000000000003,3573878.368236275
0.28700000000000003,3573878.368236275
0.28800000000000003,3573878.368236275
0.289,3573878.368236275
0.29,3573878.368236275
0.291,3573878.368236275
0.292,3573878.368236275
0.293,3573878.368236275
0.294,3573878.368236275
0.295,3573606.8540289397
0.296,3573606.8540289397
0.297,3573606.8540289397
0.298,3573606.8540289397
0.299,3573606.8540289397
0.3,3573557.2126565273
0.301,3573557.2126565273
0.302,3573557.2126565273
0.303,3573557.2126565273
0.304,3573557.2126565273
0.305,3573557.2126565273
0.306,3573557.2126565273
0.307,3573557.2126565273
0.308,3573557.2126565273
0.309,3573557.2126565273
0.31,3573557.2126565273
0.311,3579769.2653846294
0.312,3579769.2653846294
0.313,3579769.2653846294
0.314,3579769.2653846294
0.315,3579769.2653846294
0.316,3579769.2653846294
0.317,3579769.2653846294
0.318,3579769.2653846294
0.319,3579769.2653846294
0.32,3579769.2653846294
0.321,3579769.2653846294
0.322,3579769.2653846294
0.323,3579769.2653846294
0.324,3579769.2653846294
0.325,3579769.2653846294
0.326,3579679.2528537246
0.327,3579679.2528537246
0.328,3579679.2528537246
0.329,3579679.2528537246
0.33,3579679.2528537246
0.331,3579679.2528537246
0.332,3579553.476445692
0.333,3579553.476445692
0.334,3578694.8532738304
0.335,3584563.38038461
0.336,3584563.38038461
0.337,3585155.101316916
0.338,3585155.101316916
0.339,3585120.6864149524
0.34,3585120.6864149524
0.341,3585120.6864149524
0.342,3598779.271413234
0.343,3598779.271413234
0.34400000000000003,3598779.271413234
0.34500000000000003,3598719.845937427
0.34600000000000003,3598719.845937427
0.34700000000000003,3599149.2834014427
0.34800000000000003,3599149.2834014427
0.34900000000000003,3599149.2834014427
0.35000000000000003,3599474.409557165
0.35100000000000003,3599474.409557165
0.352,3599474.409557165
0.353,3599474.409557165
0.354,3599474.409557165
0.355,3599322.704338213
0.356,3599322.704338213
0.357,3599322.704338213
0.358,3599322.704338213
0.359,3599322.704338213
0.36,3599322.704338213
0.361,3599322.704338213
0.362,3598830.3481896026
0.363,3598830.3481896026
0.364,3598830.3481896026
0.365,3598830.3481896026
0.366,3598830.3481896026
0.367,3598830.3481896026
0.368,3598656.290547445
0.369,3598656.290547445
0.37,3598656.290547445
0.371,3598656.290547445
0.372,3598656.290547445
0.373,3598656.290547445
0.374,3598591.3127305317
0.375,3598591.3127305317
0.376,3598491.0180849526
0.377,3822867.133618091
0.378,3822867.133618091
0.379,3822867.133618091
0.38,3822867.133618091
0.381,3822867.133618091
0.382,3822867.133618091
0.383,3822867.133618091
0.384,3822867.133618091
0.385,3822867.133618091
0.386,3822867.133618091
0.387,3822867.133618091
0.388,3822867.133618091
