predicted,observed,count
0.00012879075127024563,0.0027091093802912294,5906
0.00024896847583591805,0.004233700254022015,5905
0.0003572780688899141,0.0030477480528276328,5906
0.0004743097231451424,0.0028789161727349705,5905
0.0006050124080933707,0.003895004233700254,5905
0.0007591747733432736,0.0060954961056552655,5906
0.0009390636897050028,0.005249788314987299,5905
0.0011575530260942387,0.006773920406435224,5905
0.0014159989816257645,0.005926176769387064,5906
0.001730902918572582,0.007451312447078747,5905
0.0021233232829906685,0.009144792548687553,5905
0.0025926445387781227,0.011513714866237725,5906
0.003204909157829039,0.0165961049957663,5905
0.004057199488936049,0.016426756985605417,5905
0.0052774962450960255,0.020656959024720624,5906
0.0070604061185539175,0.02506350550381033,5905
0.00995730505773255,0.03624047417442845,5905
0.015761433823625503,0.04757873349136471,5906
0.03214826965855728,0.08094834885690093,5905
0.3260735317104797,0.3757196071791399,5906
