predicted,observed,count
0.0007435872482892926,0.0027066041140382533,5542
0.002862618751692883,0.003424657534246575,24528
0.003207605611105547,0.007080520335913058,6073
0.004474904278635756,0.004953009906019812,7874
0.004861890404871059,0.006130608618391826,11255
0.008039585620961428,0.010011626404857253,15482
0.011826922232675846,0.016777918094894463,5543
0.014712007494180628,0.015418502202643172,3632
0.01621035691913659,0.017920173771382025,3683
0.02296913161977853,0.022318454363757494,9006
0.028948902631903962,0.03388686377750776,7407
0.0467563572904218,0.04636890555744971,5866
0.06914010139517268,0.07333333333333333,4350
0.34152651036406156,0.30519893224863354,7867
