band,rows,fraud_rate,mean_predicted,ece_global_calib,pr_auc
<$25,9461,0.07398795053377022,0.07360224714042271,0.014012597459401439,0.6229519209066733
$25-100,62948,0.029103386922539238,0.02867279910894117,0.0027592762481892545,0.48852990241172733
$100-250,33222,0.028264403106375294,0.032211853127951655,0.005721898632653621,0.38830430852336456
$250-1k,10744,0.05016753536857781,0.05014070498736991,0.00895661178689185,0.4440736754764984
>$1k,1733,0.031159838430467397,0.03458681987347101,0.022211125049089668,0.12013696421159123
